ABERTIS;IMP_0027_265;10/09/2014;01/01/2010;CIB;Swift Fileact;10000000089;Integrado;Finalizado;OK;00000036.CSP;Adeudos directos 19.14 (Sepa);Ignacio;00000036.CSP
ABERTIS;IMP_0027_265;13/08/2014;01/01/2010;CIB;Swift Fileact;10000000089;Integrado;Finalizado;KO;;Adeudos directos 19.14 (Sepa);Nacho;Id de acreedor del cliente, A62275680 111 0006 0182, no se puede hacer pruebas con él en Integrado
ABERTIS;IMP_0027_265;19/08/2014;01/01/2010;CIB;Swift Fileact;10000000089;Integrado;Finalizado;KO;00000022.CSP;Adeudos directos 19.14 (Sepa);Ignacio;00000022.CSP (se ha rechazado por riesgo, el fichero es de 1.896.641,71 EUR)
ABERTIS;IMP_0027_265;02/09/2014;01/01/2010;CIB;Swift Fileact;10000000089;Integrado;Finalizado;KO;00000032.CSP;Adeudos directos 19.14 (Sepa);Ignacio;00000032.CSP Ha quedado parado en IMG por una incidencia (ID de acreedor incorrecto)
ABERTIS;IMP_0027_265;22/08/2014;01/01/2010;CIB;Swift Fileact;10000000089;Integrado;Pendiente;;;Adeudos directos 19.14 (Sepa);Ignacio;
ABERTIS;IMP_0027_265;06/08/2014;01/01/2010;CIB;Swift Fileact;10000000089;Integrado;Finalizado;KO;00000007.CSP;Adeudos directos 19.14 (Sepa);Nacho;00000007.CSP. Fichero no ha llegado a Autorizaciones en SSTT. Esté pendiente de otras validaciones en SSTT, se reclama a SSTT. Llega a autorizaciones con Id de acreedor incorrecto, se debe volver a enviar con el correcto.
ABERTIS;IMP_0027_265;09/09/2014;01/01/2010;CIB;Swift Fileact;10000000089;Integrado;Finalizado;KO;00000034.CSP;Adeudos directos 19.14 (Sepa);Ignacio;00000034.CSP (ID de acreedor incorrecto)
ABERTIS;;13/08/2014;01/01/2010;CIB;Swift Fileact;10000000089;Integrado;Finalizado;KO;;Euroconfirming;Nacho;rechazado porque la cabecera llegó incorrecta, con un carácter más en el CIF
ABERTIS;;18/08/2014;01/01/2010;CIB;Swift Fileact;10000000089;Integrado;Finalizado;OK;00000019.CNF;Euroconfirming;Ignacio;00000019.CNF (Es una prueba interna para comprobar si se comprueba el signo negativo en el total del fichero. SSTT lo ha dejado pasar aunque el importe es negativo y no debería serlo).
ABERTIS;;18/11/2014;01/01/2010;CIB;Swift Fileact;10000000101;Producción;Finalizado;KO;00000002.CNF;Euroconfirming;Nacho;00000002.CNF (importe total incorrecto, lo han expresado en negativo)
ABERTIS;;19/08/2014;01/01/2010;CIB;Swift Fileact;10000000089;Integrado;Finalizado;OK;00000021.CNF;Euroconfirming;Ignacio;00000021.CNF
ABERTIS;;19/11/2014;01/01/2010;CIB;Swift Fileact;10000000101;Producción;Finalizado;KO;00000002.CNF;Euroconfirming;Nacho;00000002.CNF (importe total incorrecto, lo han expresado en negativo)
ABERTIS;;19/11/2014;01/01/2010;CIB;Swift Fileact;10000000101;Producción;Finalizado;OK;00000005.CNF;Euroconfirming;Nacho;00000005.CNF
ABERTIS;;07/08/2014;01/01/2010;CIB;Swift Fileact;10000000089;Integrado;Finalizado;KO;00000008.CNF;Euroconfirming;Nacho;No ha llegado a SSTT, problemas en IMG. 00000008.CNF, cuenta ordenante no existe en EI, sin reelvancia, se revisa fuera de circuito. PENDIENTE DE LA INCIDENCIA DE LA HERRAMIENTA HD. El importe de totales tiene signo negativo.
ABERTIS;;07/08/2014;01/01/2010;CIB;Swift Fileact;10000000089;Integrado;Finalizado;KO;00000009.CNF;Euroconfirming;Nacho;No ha llegado a SSTT, problemas en IMG. 00000009.CNF, cuenta ordenante no existe en EI, sin reelvancia, se revisa fuera de circuito. . PENDIENTE DE LA INCIDENCIA DE LA HERRAMIENTA HD.. El importe de totales tiene signo negativo.
ABERTIS;;11/08/2014;01/01/2010;CIB;Swift Fileact;ABIRESBBXXX;Producción;Pendiente;;;MT101;Nacho;
ABERTIS;;22/07/2014;01/01/2010;CIB;Swift Fileact;ABIRESB0XXX;Integrado;Finalizado;KO;;MT101;Ignacio;Error de formato
ABERTIS;;25/07/2014;01/01/2010;CIB;Swift Fileact;ABIRESB0XXX;Integrado;Finalizado;OK;MT101053.TR1;MT101;Ignacio;MT101053.TR1. Pendiente por no haber disponible en la cuenta de cargo, se ha autorizado el 28/07.
ABERTIS;;29/07/2014;01/01/2010;CIB;Swift Fileact;ABIRESB0XXX;Integrado;Finalizado;OK;;MT101;Nacho;Con importe 1. En la oficina correctora, se ha autorizado. No se ceden a la aplicación, se reclama a SSTT. Se lo han pasado a RA el 31/07 continúa sin cederse. Se cede el 01/08 por la tarde.
ABERTIS;;29/07/2014;01/01/2010;CIB;Swift Fileact;ABIRESB0XXX;Integrado;Finalizado;OK;;MT101;Nacho;Con importe 0. Rechazado correctamente por importe 0. Enviar MT199
ABERTIS;;18/11/2014;01/01/2010;CIB;Swift Fileact;ABIRESBBXXX;Producción;Finalizado;OK;MT101539.OMF;MT101;Nacho;MT101539.OMF
ABERTIS;;18/11/2014;01/01/2010;CIB;Swift Fileact;ABIRESBBXXX;Producción;Finalizado;OK;MT101653.TIN;MT101;Nacho;MT101653.TIN
ABERTIS;;29/07/2014;01/01/2010;CIB;Swift Fileact;ABIRESB0XXX;Integrado;Finalizado;OK;;MT101;Nacho;Con importe 0. Rechazado correctamente por importe 0. Enviar MT199
ABERTIS;;29/07/2014;01/01/2010;CIB;Swift Fileact;ABIRESB0XXX;Integrado;Finalizado;OK;;MT101;Nacho;Con importe 1. No ha llegado a SSTT. En la oficina correctora, se ha autorizado. No se ceden a la aplicación, se reclama a SSTT. Se lo han pasado a RA el 31/07 continúa sin cederse.Se cede el 01/08 por la tarde. Saldo insuficiente, se autoriza.
ABERTIS;IMP_0027_264;13/08/2014;01/01/2010;CIB;Swift Fileact;10000000089;Integrado;Finalizado;OK;00000018.FIT;Transferencias 34.14;Nacho;00000018.FIT. No se ha cedido hasta las 17:25h del 14/08.
ABERTIS;IMP_0027_264;13/08/2014;01/01/2010;CIB;Swift Fileact;10000000089;Integrado;Finalizado;OK;00000015.FIT;Transferencias 34.14;Nacho;00000015.FIT. No se ha cedido hasta las 17:25h del 14/08.
